sn,artist,song,lyrics,mood
ML86,'Alice Cooper','No More Mr  Nice Guy',' Intro      I used to be such a sweet  sweet thing      Til they got a hold of me     I opened doors for little old ladies     I helped the blind to see     I got no friends cause they read the papers     They can t be seen with me and I m gettin  real shot down     And I m feeling mean          No more Mister Nice Guy     No more Mister Clean     No more Mister Nice Guy     They say he s sick  he s obscene      Instrumental      I got no friends cause they read the papers     They can t be seen with me and I m feelin  real shot down     And I m gettin  mean     No more Mister Nice Guy     No more Mister Clean     No more Mister Nice Guy     They say he s sick  he s obscene     My dog bit me on the leg today     My cat clawed my eyes     Ma s been thrown out of the social circle     And dad has to hide     I went to church incognito     When everybody rose  the Reverend Smith     He recognized me     And punched me in the nose  he said     No more Mister Nice Guy     No more Mister Clean     No more Mister Nice Guy     He said you re sick  you re obscene     No more Mister Nice Guy     No more Mister Clean     No more Mister Nice Guy     He said you re sick  you re obscene',sad
ML87,'Neil Young','Heart Of Gold','I want to live  I want to give     I ve been a miner for a heart of gold     It s these expressions I never give     That keep me searchin  for a heart of gold     And I m getting old     Keep me searchin  for a heart of gold     And I m getting old     I ve been to Hollywood  I ve been to Redwood     I crossed the ocean for a heart of gold     I ve been in my mind  it s such a fine line     That keeps me searchin  for a heart of gold     And I m getting old     Keeps me searchin  for a heart of gold     And I m getting old     Keep me searchin  for a heart of gold     You keep me searchin      And I m growing old     Keep me searchin  for a heart of gold     I ve been a miner for a heart of gold',happy
ML88,Boston,'Let Me Take You Home Tonight','Now I m not like this  I m really kind of shy     But I get this feeling whenever you walk by     I don t want to down you  I want to make you high     If you you could see your way to me  come on and let me try          Let me take you home tonight     Mamma now it s alright     Let me take you home tonight     I ll show you sweet delight          You must understand this  I ve watched you for so long     That I feel I ve known you  I know it can t be wrong     If we just get together  I want to make you see     I m dreaming of your sweet love tonight  so mamma let it be          I don t want to make excuses  I don t want to lie     I just got to get loose     With you tonight               I don t want to make excuses  I don t want to lie     I just got to get loose     With you tonight          I don t want to down you  I want to make you high     And I get this feeling whenever you walk by     If we just get together  I want to make you see     I m dreamin  of your sweet love tonight  so mamma let it be          I wanna show you sweet delight  show you sweet delight     Pretty mamma want to show you sweet delight     Let me take you home tonight     You know I want to take you home     Let me take you home tonight     I don t want be alone     Let me take you home tonight     Let me take you home tonight     Let me take you home tonight',relaxed
ML89,Scorpions,'Still Loving You','Time  it needs time     To win back your love again     I will be there  I will be there     Love  only love     Can bring back your love someday     I will be there  I will be there     I ll fight  babe I ll fight     To win back your love again     I will be there  I will be there     Love  only love     Can break down the wall someday     I will be there  I will be there          If we d go again     All the way from the start     I would try to change     The things that killed our love     Your pride has built a wall  so strong     That I can t get through     Is there really no chance     To start once again     I m loving you          Try  baby try     To trust in my love again     I will be there  I will be there     Love  our love     Just shouldn t be thrown away     I will be there  I will be there          If we d go again     All the way from the start     I would try to change     The things that killed our love     Your pride has built a wall  so strong     That I can t get through     Is there really no chance     To start once again     If we d go again     All the way from the start     I would try to change     The things that killed our love     Yes  I ve hurt your pride  and I know     What you ve been through     You should give me a chance     This can t be the end     I m still loving you     I m still loving you  I need your love     I m still loving you',happy
ML90,'The Doors','Light My Fire',' Intro           You know that it would be untrue     You know that I would be a liar     If I was to say to you     Girl  we couldn t get much higher          Come on baby  light my fire     Come on baby  light my fire     Try to set the night on fire          The time to hesitate is through     No time to wallow in the mire     Try now we can only lose     And our love become a funeral pyre          Come on baby  light my fire     Come on baby  light my fire     Try to set the night on fire     Yeah         Bridge           The time to hesitate is through     No time to wallow in the mire     Try now we can only lose     And our love become a funeral pyre          Come on baby  light my fire     Come on baby  light my fire     Try to set the night on fire     Yeah          You know that it would be untrue     You know that I would be a liar     If I was to say to you     Girl  we couldn t get much higher          Come on baby  light my fire     Come on baby  light my fire     Try to set the night on fire     Try to set the night on fire     Try to set the night on fire     Try to set the night on fire      Outro ',angry
ML91,'Night Ranger','Don t Tell Me You Love Me','It ain t the way you move     It ain t the way that you move me     Oh no     It ain t the way you shake     It ain t the way that you shake me     Oh no     I ve lived 25 years as a kid on the run     I ve got a pistol for action          Don t tell me you love me     Don t tell me you love me     Don t tell me  I don t wanna know     Don t tell me you love me     Don t tell me you love me     Don t tell me  I don t wanna know          I love the way you use     I love the way that you use me     Oh yeah     I love the way you shoot     I love the way that you shoot to kill me     Oh yeah     It s taken miles and lines to learn the right from the wrong     I ll keep you hanging on          So don t tell me you love me     Don t tell me you love me     Don t tell me  I don t wanna know     Don t tell me you love me     Don t tell me you love me     Don t tell me  I don t wanna know               Don t tell me you love me     Don t tell me you love me      love me  you love me      Don t tell me you love me      you love me  you love me      Don t tell me you love me      you love me  you love me      Don t tell me you love me     Love me  love me  yeah          Don t tell me you love me     Don t tell me you love me     Don t tell me  I don t wanna know     Don t tell me you love me     Don t tell me you love me     Don t tell me  I don t wanna know',happy
ML92,'Lynyrd Skynyrd','That Smell','Whiskey bottles  and brand new cars     Oak tree you re in my way     There s too much coke and too much smoke     Look what s going on inside you     Ooooh that smell     Can t you smell that smell     Ooooh that smell     The smell of death surrounds you     Angel of darkness is upon you     Stuck a needle in your arm     So take another toke  have a blow for your nose     One more drink  fool  will drown you     Ooooh that smell     Can t you smell that smell     Ooooh that smell     The smell of death surrounds you     Now they call you Prince Charming     Can t speak a word when you re full of  ludes     Say you ll be alright come tomorrow     But tomorrow might not be here for you  Yeah  you      Ooh  that smell     Can t you smell that smell      Ooh  that smell     The smell of death surrounds you     Aw  you fool  you     You stick them needles in your arm     I know I been there before     One little problem that confronts you     Got a monkey on your back     Just one more fix Lord  might do the trick     One hell of a price for you to get your kicks  Hell  yeah      Ooh  that smell     Can t you smell that smell      Ooh  that smell     The smell of death surrounds you     Ooh  that smell     Can t you smell that smell      Ooh  that smell     The smell of death surrounds you     Oh  you fool  you     Don t stick those needles in your arm     You re just a fool  just a fool  just a fool',sad
ML93,'Pat Benatar','Hit Me With Your Best Shot','Well you re the real tough cookie with a long history     Of breaking little hearts like the one in me     That s okay  let s see how you do it     Put up your dukes  let s get down to it          Hit me with your best shot     Why don t you hit me with your best shot     Hit me with your best shot     Fire away          You come on with it  come on  you don t fight fair     That s okay  see if I care     Knock me down  it s all in vain     I get right back on my feet again          Hit me with your best shot     Why don t you hit me with your best shot     Hit me with your best shot     Fire away               Well you re the real tough cookie with a long history     Of breaking little hearts like the one in me     Before I put another notch in my lipstick case     You better make sure you put me in my place          Hit me with your best shot     C mon  hit me with your best shot     Hit me with your best shot     Fire away          Hit me with your best shot     Why don t you hit me with your best shot     Hit me with your best shot     Fire away',angry
ML94,'Guns N  Roses','Paradise City','  x2      Take me down to the Paradise City     Where the grass is green and the girls are pretty      Take me home  Oh  won t you please take me home           Just an urchin living under the street     I m a hard case that s tough to beat     I m your charity case  so buy me something to eat     I ll pay you at another time     Take it to the end of the line     Rags and riches  or so they say     You gotta keep pushing for the fortune and fame     You know it s  it s all a gamble  when it s just a game     You treat it like a capital crime     Everybody s doing the time          Take me down to the Paradise City     Where the grass is green and the girls are pretty     Oh  won t you please take me home      Take me down to the Paradise City     Where the grass is green and the girls are pretty     Take me home          Strapped in the chair of the city s gas chamber     Why I m here  I can t quite remember     The Surgeon General say s it s hazardous to breathe     I d have another cigarette     But I can t see     Tell me who you re gonna believe          Take me down to the Paradise City     Where the grass is green and the girls are pretty     Take me home  yeah yeah     Take me down to the Paradise City     Where the grass is green and the girls are pretty     Oh  won t you please take me home            x4      So far away          Captain America s been torn apart     Now  he s a court jester with a broken heart     He said   Turn me around and take me back to the start     I must be losing my mind     Are you blind       I ve seen it all a million times          I wanna go     I wanna know     Oh  won t you please take me home      I wanna see     How good it can be     Oh  won t you please take me home      Take me down to the Paradise City     Where the grass is green and the girls are pretty      Take me home  Oh  won t you please take me home      Take me down to the Paradise City     Where the grass is green and the girls are pretty     Oh  won t you please take me home      Take me down  ooh yeah      Spin me  round     Oh  won t you please take me home      I wanna see     How good it can be     Oh  won t you please take me home      I wanna see     How good it can be     Oh  won t you please take me home      Take me down to the Paradise City     Where the grass is green and the girls are pretty     Oh  won t you please take me home      I wanna go     I wanna know     Oh  won t you please take me home      Baby',relaxed
ML95,Yes,'I ve Seen All Good People','I  Your Move     I ve seen all good people turn their heads each day     So satisfied I m on my way     I ve seen all good people turn their heads each day     So satisfied I m on my way     Take a straight and stronger course to the corner of your life     Make the white queen run so fast she hasn t got time to make you a wife     Cause it s time  it s time in time with your time and its news is captured     For the queen to use     Move me on to any black square     Use me any time you want     Just remember that the goal     Is for us all to capture only one  anywhere     Yea  yea  yea     Don t surround yourself with yourself     Move on back two squares     Send an Instant Karma to me     Initial it with loving care     Don t surround     Yourself     Cause his time is time  in time with your time     And Its news is captured     For the queen to use     Diddit diddit diddit diddit diddit diddit diddit didda     Diddit diddit diddit diddit diddit diddit diddit     Didda     Don t surround yourself with yourself     Move on back two squares     Send an Instant Karma to me     Initial it with loving care     Don t surround     Yourself with yourself     Don t surround yourself     Send an Instant     Karma to me  Don t surround     Yourself     Cause it s time  it s time in time with your time and its news is captured     For the queen to use     Diddit diddit diddit diddit diddit diddit diddit didda      all we are saying      Diddit diddit diddit diddit diddit diddit diddit didda      is give peace a chance      Diddit diddit diddit diddit diddit diddit diddit didda      all we are saying      Diddit diddit diddit diddit diddit diddit diddit didda      is give peace a chance      Cause it s time  it s time in time with your time and its news is captured     II  All Good People     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     Yea  yea     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way     I ve seen all good people turn their heads each day so satisfied I m on my way',relaxed
ML96,'Motley Crue','Home Sweet Home','You know I m a dreamer But my heart s of gold I had to run away high So I wouldn t come home low  Just when things went right It doesn t mean they were always wrong Just take this song And you ll never feel left all alone  Take me to your heart Feel me in your bones Just one more night And I m comin  off This long and winding road  I m on my way Well  I m on my way Home sweet home Tonight  tonight I m on my way I m on my way Home sweet home  You know that I ve seen Too many romantic dreams Up in lights Fallin  off the silver screen  My heart s like an open book For the whole world to read Sometimes nothing Keeps me together at the seams  I m on my way Well  I m on my way Home sweet home Tonight  tonight I m on my way Just set me free Home sweet home  Home sweet home Home sweet home Home sweet home  I m on my way I m on my way Home sweet home Yeah  I m on my way Just set me free Home sweet home',relaxed
ML97,'Lynyrd Skynyrd','You Got That Right','Well I ve heard lots of people say     They re going to settle down     You don t see their faces     And they don t come around     Well I m not that way     I got to move along     I like to drink and to dance all night     Comes to a fix not afraid to fight          You got that right     Said  you got that right     Sure got that right          Seems so long I been out on my own     Travel light and I m always alone     Guess I was born with a travellin  bone     When my times up  I ll hold my own     You won t find me in an old folks home          You got that right     Well you got that right     Said  you got that right     Sure got that right          I tried everything in my life     Things I like I try  em twice               Travelling around the world  just singing my song     I got to go  Lord I can t stay long     Here comes that ol  travelling jones once again     I like to drink and to dance all night     Comes to a fix not afraid to fight',angry
ML98,'Bad Company','Feel Like Makin  Love','Baby  when I think about you     Think about love     Darlin   don t live without you     And your love     If I had  those golden dreams     Of my yesterdays     I would wrap you  in the heaven      Til I m dyin   dyin   dyin        On the way          Feel like makin      Feel like makin  love     Feel like makin  love     Feel like makin  love     Feel like makin  love to you          Baby  if I think about you     Think about love     Darlin   if I live without you     I live without love     And if I had  the sun and moon     They were shinin   shinin       I would give you  both night and day     Of satisfyin           Feel like makin      Feel like makin  love     Feel like makin  love     Feel like makin  love     Feel like makin  love to you               And if I had  those golden dreams     Of my yesterdays     I would wrap you  in the heaven      Til I m dyin   dyin   dyin        On the way          Feel like makin      Feel like makin  love     Feel like makin  love     Feel like makin  love     Feel like makin  love to you          Well I feel like makin  love     Well I feel like makin  love     Well I feel like makin  love     Feel like makin  love to you     Well I feel like makin  love     Well I feel like makin  love     Well I feel like makin  love     Feel like makin  love to you     Well I feel like makin  love     Well I feel like makin  love     Well I feel like makin  love     Feel like makin  love to you',happy
ML99,'Jethro Tull','Locomotive Breath','In the shuffling madness     Of the locomotive breath     Runs the all time loser     Headlong to his death     He feels the piston scraping     Steam breaking on his brow     Old Charlie stole the handle     And the train it won t stop going     No way to slow down     Oh  oh      He sees his children jumping off     At the stations   one by one     His woman and his best friend     In bed and having fun     He s crawling down the corridor     On his hands and knees     Old Charlie stole the handle and     The train it won t stop going     No way to slow down     Hey  hey           He hears the silence howling     Catches angels as they fall     And the all time winner     Has got him by the balls     Oh  he picks up Gideon s Bible     Open at page one     I said  God  he stole the handle and     The train it won t stop goin      No way to slow down     No way to slow down     No way to slow down     No way to slow down     No way to slow down     No way to slow down',sad
ML100,'Bad Company','Can t Get Enough','Well  I take whatever I want     And baby  I want you     You give me something I need     Now tell me I got something for you     Come on  come on  come on and do it     Come on and uh do what you do     I can t get enough of your love     I can t get enough of your love     I can t get enough of your love     Listen     Well  it s late and I want love     Love that s gonna break me in two     Don t you hang me up in your doorway     Don t you hang up like you do     Say it     Come on  come on  come on and do it     Come on  come on  do what you do  Woo      I can t get enough of your love     I can t get enough of your love     I can t get enough of your love     Well I say now     I can t get enough of your love     I can t get enough of your love     I can t get enough of your love     Say it again  aah     I can t get enough of your love     I can t get enough of your love     I can t get enough of your love     I ve got to tell ya baby  that I     I love you so much I can t get enough of your love     I love you so much I can t get enough of your love     I can t get enough of your love     Mmm  you know what I m saying baby     I can t get enough of your love     I can t get enough  enough of your love     I can t get enough  enough of your love     I can t get enough of your love  Yeah     Woo  Ah  come on baby     Come over here right now     Oh oh oh oh   ',happy
ML101,'The Who','Love Reign O er Me','Only love can make it rain     The way the beach is kissed by the sea     Only love can make it rain     Like the sweat of lovers laying in the fields          Love reign o er me     Rain o er me     Love reign o er me     Rain o er me     Rain o er me          Only love can bring the rain     That makes you yearn to the sky     Only love can bring the rain     That falls like tears from on high          Love reign o er me     Rain o er me     Love reign o er me     Rain o er me     Rain o er me          On the dry and dusty road     The nights we spend apart alone     I need to get back home to cool cool rain     I can t sleep and I lay and I think     The nights are hot and black as ink     Oh God  I need a drink of cool cool rain               Love reign o er me     Rain o er me  o er me  o er me      Love reign o er me     Rain o er me     Rain o er me          Love ',relaxed
ML102,'Billy Squier','In The Dark','Life isn t easy from the singular side     Down in the hole  some emotions are hard to hide     It s your decision  it s a chance that you take     It s on your head  it s a habit that s hard to break     Do you need a friend      Would you tell no lies      Would you take me in      Are you lonely in the dark      In the dark     In the dark     In the dark     You never listen to the voices inside     They fill your ears as you run to a place to hide     You re never sure if the illusion is real     You pinch yourself but the memories are all you feel     Can you break away     From your alibis      Can you make a play      Oh  will you meet me in the dark      In the dark     In the dark     In the dark     In the dark     In the dark     Don tcha need me  hey  hey     Don tcha need me  oh yeah     Don tcha leave me  hey  hey     Don tcha need me  oh yeah     You take no interest  no opinion s too dear     You make the rounds  oh  you try to be so sincere     You guard your hopes and you pocket your dreams     You d trade it all to avoid an unpleasant scene     Can you face the fire     When you see me there      Can you feel the fire      Will you love me in the dark      In the dark     In the dark     In the dark     In the dark     In the dark     In the dark     In the dark     In the dark',sad
ML103,'Pink Floyd','One Of These Days','One of these days  Im going to cut you into little pieces',sad
ML104,'Van Halen','Runnin  With The Devil',' Intro      I live my life like there s no tomorrow     And all I ve got I had to steal     Least I don t need to beg or borrow     Yes  I m living at a pace that kills     Runnin  with the devil     Runnin  with the devil     I ll tell y all about it     I found the simple life ain t so simple     When I jumped out on that road     I got no love  no love you d call real     Ain t got nobody waiting at home     Runnin  with the devil     God damn it lady  you know I ain t lying to ya     I m wanna tell you one time     Aah yeah     Running with the devil     Yes I am     Yeah      Bridge      Woo     Woo     You know I  I found the simple life  weren t so simple  no     When I jumped out on that road     Got no love  no love you d call real     Got nobody waiting at home     Runnin  with the devil     Runnin  with the devil      Bridge      Woo        Runnin  with the devil     Runnin  with the devil',angry
ML105,'David Bowie',Fame,'Fame   fame  makes a man take things over     Fame   fame  lets him loose  hard to swallow     Fame   fame  puts you there where things are hollow     Fame  fame      Fame  it s not your brain  it s just the flame     That burns your change to keep you insane  sane      Fame  fame      Fame   fame  what you like is in the limo     Fame   fame  what you get is no tomorrow     Fame   fame  what you need you have to borrow     Fame  fame      Fame   Nein  It s mine   is just his line     To bind your time  it drives you to  crime     Fame  fame      Could it be the best  could it be      Really be  really  babe      Could it be  my babe  could it  babe      Could it  babe  Could it  babe      Is it any wonder I reject you first      Fame  fame  fame  fame     Is it any wonder you are too cool to fool     Fame  fame      Fame  bully for you  chilly for me     Got to get a rain check on pain  pain       Fame      Fame  fame  fame  fame  fame  fame  fame  fame  fame  fame  fame  fame  fame     Fame  fame  fame  fame  fame  fame  fame  fame  fame  fame     Fame     What s your name      Feeling so gay  feeling gay',happy
ML106,'Three Plus','Undercover Lover','You re standing there with your man     But I see you lookin  at me     And so I gave you a little smile     Then you smile back at me     And ooh girl  how can I get you all alone     And ooh girl  I wanna take you home      Chorus      Cause I wanna be your undercover lover     That no one else can discover     Your undercover lover tonight girl  tonight girl     I seen you on Wednesday night     Watchin  Ho onu a give that feel good vibe     You re dancin  there with your friends     I m so happy that I get to see you again     Your smile girl is making me go crazy     So please girl  please come home with me      Repeat chorus      At last we re together again     Can we be friends with benefits     I ll call you up on your cell     If you don t tell then I won t tell     I know girl that you got a man     We ll keep it on the downlow     And stick to my plan      Repeat chorus ',relaxed
ML107,'Three Plus','Honey Baby','I saw you there standing under the mango tree     Beautiful women you look so fine to me     She had all the things that Ive been searching for     She had air blue hair  flower in her hair and longle shorts     Shes my honey baby  my honey baby     My honey baby  my honey baby     So that I want you to know     That where ever you go     I won t be far away     Cause as I kiss your lips     While you sway your hips     You just hear me say     Shes my honey baby  my honey baby     My honey baby  my honey baby      instrumental      Said my sweet honey baby     Yes you know I love you so     So hold on tight     And baby never let go     Because you know that when you call on me     Ill be there when i can     And you can count on me     Cause im a Hawaiian superman     My honey baby  my honey baby     My honey baby  my honey baby      instrumental      Girl I just told you how I feel for you     Every word I say yes you know its true     Before I go theres just one more thing     My darling     If you thought it could mend me with this wedding ring     Cause your my honey baby  my honey baby     My honey baby  my honey baby     My honey baby  my honey baby     Yes I want you to know that your mine     All of the time     Baby shine     Honey baby your mine     Yes I want you to know that your mine     All of the time     Baby shine     Honey baby your mine',relaxed
ML108,'Three Plus','Two Person Party','There s a reggae party here tonight     Braddahs on the left  Sistahs on the right     The bass is bumpin the music is right     So don t you go home lonley tonight     Is everybody ready to dance     Grab a partner and get on the dance floor and skank     This may be your last chance     Chorus  It s a two person party tonight     Take off your clothes I ll turn off the lights     Don t worry girl I ll have you home on time      this is what I m telling you      It s a two person party tonight     Oh girl tell me what I m seein      You and me together that s the feelin     Let s start now we don t have much time     Makin sweet love till the morning light     You re the only woman that I see     Would you like to come and dance with me     I think God made you for me     Chorus      Verse 2  repeat       Chorus  2x  ',relaxed
ML109,'Bob Marley   The Wailers','Easy Skanking','Easy skanking  skanking it easy      Easy skanking  skanking it slow      Easy skanking  skanking it easy      Easy skanking  skanking it slow           Excuse me while I light my spliff  spliff      Good God  I got to take a lift  lift      From reality I just can t drift  drift      That s why I am staying with this riff  riff           Take it easy  easy skanking      Lord  I take it easy  easy skanking      Take it easy  easy skanking      Got to take it easy  easy skanking           See  we re taking it easy  ooh wah da da da      We taking it slow  ooh wah da da da      Taking it easy  easy      Got to take it slow  slow slow      So take it easy  easy skanking   da da da da da da      Wo oh  take it easy  easy skanking      Take it easy  easy skanking   da da da da da da      Take it easy   easy skanking           Excuse me while I light my spliff  spliff      Oh  God  I got to take a lift  lift      From reality I just can t drift  drift      That s why I am staying with this riff  riff           Take it easy  taking it easy      Got to take it easy  taking it slow      Take it easy  taking it easy      Skanky  take it easy  taking it slow           Tell you what     Herb for my wine  ooh wa da da da      Honey for my strong drink  ooh wa da da da      Herb for my wine  ooh wa da da da      Honey for my strong drink          I shake it easy  taking it easy      Skanky  take it easy  skanking it slow      Take it  taking it easy  easy     Take it  skanking it slow  easy          Take it easy  taking it easy      Oh oh ooh   skanking it slow      Little bit easier  taking it easy      Skanky  take it easy  skanking it slow      Take it easy     Take it easy     Take it easy',relaxed
ML110,'Gregory Isaacs','Private Beach Party','You and me love gonna get it together     Gonna do what we want after eleven     You miss me and tease me  cause in the end you re gonna please me     At the private beach party  our own private beach party     We are going to the beach this Sunday morning     Gonna pick you up baby  so make sure you re ready     I m gonna hold and touch you  show how much I miss you     At the private beach party  our own private beach party     We re gonna have a party  yeah     Our own private beach party  just you and me     We re going to the beach this Sunday morning     Gonna pick you up baby so make sure you re ready     I m gonna hold and touch you  show how much I miss you     At the private beach party  our own private beach party     Gonna have a party  just you and me     You miss me and tease me  cause in the end you re gonna please me     At the private beach party  our own private beach party  just you and me     Going to the beach this Sunday morning  oh  yeah     Gonna pick you up baby so make sure you re ready     I m gonna hold and touch you  show how much I miss you     At the private beach party  Lord  our own private beach party     Gonna have a party  our own private beach party     You and me love gonna get it together  oh  yeah     We re gonna do what we want after eleven     Yes  you and me love gonna get it together     We re gonna do what we want after eleven     On the beach where we re gonna be     On the beach just you and me  having a party     Our own private beach party     Only you and me going to the party',happy
ML111,Fiji,'Anything You Want','It s hard to explain     The hardships and pain     That true lovers must endure     That s for sure     I have my regrets     But much more than that     This special love we must secure     More and more     There s no better feelin      Than when I rise up to see the morning sun     And watch the sunrise in you eyes     You re like the summer breeze     When I m going through my winter time     So baby take this love of mine      Cause anything you want  girl     I will give it to you     Anything you need  girl     My heart will be so true     Anything you want  girl     I will give it to you     Anything you need  girl     My heart will always be true to you     They say once you re bit  you re twice as shy     I have no reason to ask you why  why oh why     We must understand the ultimate plan     Is that we live a happy life     In the by and by     There s no better feelin      Than when I rise up to see the morning sun     And watch the sunrise in you eyes     You re like the summer breeze     That comes to me in the winter time     So honey  I hope you realize      Cause anything you want  girl     I will give it to you     Anything you need  girl     My heart will always be true     Anything you want  girl     I will surely give it to you     Anything you need  girl     My heart will always be true to you',relaxed
ML112,'Ooklah The Moc','Hell Fire','Oh  I see what you ve done to me     The way you kill me and the way you rape me     But I can t wait forever for someone to come help me     As I can see us together  that s why I purge thee          So I send down Jah Hell Fire     Sucking up the blood of the land to change the evil ways of man     So I send down Jah Hell Fire     Send it as a warning to change your evil ways     We send it as a warning to change your evil ways      You think that I don t know of what you do     You think that I don t know what you ve gone through     You don t see what you think of me     And so my children  oh  when are you gonna see           So I send down Jah Hell Fire     Sucking up the blood of the land to change the evil ways of man     So I send down Jah Hell Fire     Send it as a warning to change your evil ways     We send it as a warning to change your evil ways      What you see and what you do     Will never be the same        You think that I don t know of what you do     You think that I don t know what you ve gone through     You don t see what you think of me     And so my children  oh  when are you gonna see           So I send down Jah Hell Fire     Sucking up the blood of the land to change the evil ways of man     So I send down Jah Hell Fire     Send it as a warning to change your evil ways     We send it as a warning to change your evil ways      You re running away      You re running away      Don t worry son  thinks spark from this fire     You can t run from Jah love     Oh  Hell Fire      Oh  Hell Fire      Oh  Hell Fire ',angry
ML113,Shaggy,'Angel ','Now this one s dedicated to all the youths Who want to say nice things to all dem girls  heh  heh  heh  Treat her like diamonds and pearls Dedicated to all the girls around the world  Now  Now this is Rayvon and Shaggy With a combination you can t miss  heh  heh  heh  Flip this one  pon the musical disc  Yeah  Well  ah ah  wah wah wah   Girl  you re my angel  you re my darling angel Closer than my peeps  you are to me  baby Shorty  you re my angel  you re my darling angel Girl  you re my friend when I m in need  lady  Life is one big party when you re still young But who s gonna have your back when it s all done  yeah  It s all good when you re little you re pure fun Can t be a fool son  what about the long run  yeah   Looking back Shorty always a mention Say me not giving her much attention  yeah  She was there through my incarceration I wanna show the nation my appreciation  Girl  you re my angel  you re my darling angel Closer than my peeps  you are to me  baby Shorty  you re my angel  you re my darling angel Girl  you re my friend when I m in need  lady  You re a queen and that s how you should be treated Though you never get the lovin  that you needed  yeah  Coulda left  but I called and you heeded Begged and I pleaded  mission completed  yeah   Mama said now that I dissed the program Not the type to mess around with her emotion  yeah  But the feeling that I have for you is so strong Been together so long and this could never be wrong  Girl  you re my angel  you re my darling angel Closer than my peeps  you are to me  baby Shorty  you re my angel  you re my darling angel Girl  you re my friend when I m in need  lady  Girl  in spite of my behavior  said I m your savior  You must be sent from up above  And you appear to me so tender  say girl I surrender  Thanks for giving me your love   Girl  in spite of my behavior  well  you are my savior  You must be sent from up above  And you appear to me so tender  well  girl I surrender  Said thanks for giving me your love   Now life is one big party when you re still young And who s gonna have your back when it s all done It s all good when you live to have pure fun Can t be a fool son  what about the long run  yeah   Looking back shorty  always a mention Say me not giving her much attention  yeah  She was there through my incarceration I wanna show the nation my appreciation  Girl  you re my angel  you re my darling angel Closer than my peeps  you are to me  baby Shorty  you re my angel  you re my darling angel Girl  you re my friend when I m in need  lady  Girl  you re my angel  you re my darling angel Closer than my peeps  you are to me  baby Shorty  you re my angel  you re my darling angel Girl  you re my friend when I m in need  lady',relaxed
ML114,'Sean Paul','I m Still In Love With You ','Well in comes di ting dem call di broken heart This blessed love will never part Yuh dun know it s from the start mi tell dem seh a Dutty Yeah  A Sean Paul and Sasha  come sing for dem baby  Boy you make me holler Boy you make me sweat and I can t get your tenderness Still I can t get you off my mind What is it about you baby  It s the dutty dutty love  I m still in love with you boy  Well I m a hustler and a player and you I m not a stayer That s the dutty dutty love I m still in love with you boy  Say girl  try to understand that a man is just a man That s the dutty dutty I m still in love with you boy  Blessings loving from the start but you know we had to part That s the way I give my love I m still in love with you  But a man gotta do what a man gotta doo   Girl  well a never had to promise you no bling bling fo hold you girl A just the loving weh me fling fling control you girl And make you head swirl And make you body twirl And make you wanna be my one and only baby girl Night after night me give you love fi keep you warm Gal you never get this kinda love from you born And now you want draw card say me just can t perform  I love you baby A true a get the little loving and me gone You don t know how to love me I an I nah no time fi no kiss up an charm Not even how to kiss me A true me take you little heart by storm I don t know why Babygirl  Babygirl I love you baby A just the dutty dutty love  I m still in love with you boy  Well I m a hustler and a player and you I m not a stayer That s the dutty dutty love I m still in love with you boy  Say girl  try to understand that a man is just a man That s the dutty dutty love I m still in love with you boy  Blessing loving from the start but you know we had to part That s the way I give my love I m still in love with you  But a man gotta do what a man gotta doo girl  A true me give her tug love and say bye bye bye Me turn around she ask the question why why why When me leaving me see the gal cry cry cry And it hurts my heart to tell lie lie lie So don t cry no more Baby girl for sure Just remember the good times we had before  I love you baby A true a get the little loving and me gone You don t know how to love me I an I nah no time fi no kiss up an charm Not even how to kiss me A true me take you little heart by storm I don t know why Babygirl  Babygirl I love you baby A just the dutty dutty love  I m still in love with you boy  Well I m a hustler and a player and you I m not a stayer That s the way I give my love I m still in love with you boy  Say girl  try to understand that a man is just a man That s the dutty dutty love I m still in love with you boy  Blessings loving from the start but you know we had to part That s the dutty dutty love  I don t know why I don t know why I don t know why I don t know I don t know I don t know I don t know why I m still in love',happy
